realProfileID,venue,year,title,authors
494,SIGMOD Record,2002,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta K�nig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen"
495,SIGMOD Conference,1998,Are We Working On the Right Problems? (Panel),Michael Stonebraker
496,VLDB,2000,"Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",?
497,ACM Trans. Database Syst.,2002,Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Lud�scher"
498,SIGMOD Record,2002,Editor's Notes,Ling Liu
499,VLDB J.,2000,The LHAM Log-Structured History Data Access Method,"Gerhard Weikum, Patrick E. O'Neil, Peter Muth, Achim Pick"
500,VLDB J.,1995,TIGUKAT: A Uniform Behavioral Objectbase Management System,"Randal J. Peters, M. Tamer �zsu, Boman Irani, Adriana Mu�oz, Anna Lipka, Duane Szafron"
501,SIGMOD Conference,2000,The Onion Technique: Indexing for Linear Optimization Queries,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo"
502,SIGMOD Conference,1999,WALRUS: A Similarity Retrieval Algorithm for Image Databases,"Rajeev Rastogi, Kyuseok Shim, Apostol Natsev"
503,SIGMOD Conference,2003,Improving the Efficiency of Database-System Teaching,Jeffrey D. Ullman
504,SIGMOD Record,2001,Towards Knowledge-Based Digital Libraries,"Manfred A. Jeusfeld, Ling Feng, Jeroen Hoppenbrouwers"
505,SIGMOD Conference,1994,Outerjoins as Disjunctions,C�sar A. Galindo-Legaria
506,VLDB,1996,Information Retrieval from an Incomplete Data Cube,Curtis E. Dyreson
507,VLDB,2002,SQL Memory Management in Oracle9i,"Mohamed Za�t, Beno�t Dageville"
508,VLDB,1998,Buffering and Read-Ahead Strategies for External Mergesort,"Per-�ke Larson, Weiye Zhang"
509,SIGMOD Conference,1998,Random Sampling for Histogram Construction: How much is enough?,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri"
510,VLDB J.,1994,Qualitative Representation of Spatial Knowledge in Two-Dimensional Space,"Dimitris Papadias, Timos K. Sellis"
511,SIGMOD Conference,2003,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,"Bertram Lud�scher, Maryann E. Martone, Amarnath Gupta"
512,VLDB,2001,A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman"
513,VLDB,1996,A New SQL-like Operator for Mining Association Rules,"Giuseppe Psaila, Stefano Ceri, Rosa Meo"
514,VLDB,2002,Provisions and Obligations in Policy Management and Security Applications,"Xiaoyang Sean Wang, Duminda Wijesekera, Claudio Bettini, Sushil Jajodia"
515,SIGMOD Record,2001,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah"
516,VLDB,1997,Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,"Guido Moerkotte, Jens Clau�en, Klaus Peithner, Alfons Kemper"
517,SIGMOD Conference,1999,An Efficient Bitmap Encoding Scheme for Selection Queries,"Chee Yong Chan, Yannis E. Ioannidis"
518,SIGMOD Record,1995,The Third Manifesto,"C. J. Date, Hugh Darwen"
519,VLDB J.,1997,Data Placement in Shared-Nothing Parallel Database Systems,"Manish Mehta, David J. DeWitt"
520,SIGMOD Record,1996,The BeSS Object Storage Manager: Architecture Overview,"Alexandros Biliris, Euthimios Panagos"
521,SIGMOD Record,2003,The Cougar Project: a work-in-progress report,"Agathoniki Trigoni, Rajmohan Rajaraman, Alan J. Demers, Yong Yao, Johannes Gehrke"
522,VLDB,2000,Model-Based Information Integration in a Neuroscience Mediator System,"Bertram Lud�scher, Amarnath Gupta, Maryann E. Martone"
523,SIGMOD Conference,2001,Space-Efficient Online Computation of Quantile Summaries,"Sanjeev Khanna, Michael Greenwald"
524,VLDB,2003,Chip-Secured Data Access: Reconciling Access Rights with Data Encryption,"Philippe Pucheral, Lilan Wu, Luc Bouganim, Fran�ois Dang Ngoc"
525,SIGMOD Conference,1998,The PointCast Network,"Vibha Dayal, Satish Ramakrishnan"
526,SIGMOD Conference,1995,Integration Approaches for CIM,Moira C. Norrie
527,SIGMOD Record,2003,Toward network data independence,Joseph M. Hellerstein
528,SIGMOD Conference,1998,CQ: A Personalized Update Monitoring Toolkit,"David Buttler, Tong Zhou, Ling Liu, Paul Benninghoff, Wei Han, Calton Pu, Fenghua Yu, Wei Tang, John Biggs"
529,SIGMOD Conference,2003,The Lowell Report,"Hans-J�rg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman"
530,SIGMOD Conference,2002,Distributing queries over low-power wireless sensor networks,"Samuel Madden, Joseph M. Hellerstein"
531,SIGMOD Conference,2000,Closest Pair Queries in Spatial Databases,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos"
532,SIGMOD Record,1996,Control Strategies for Complex Relational Query Processing in Shared Nothing Systems,"Lionel Brunie, Harald Kosch"
533,VLDB,2002,Database Selection Using Actual Physical and Acquired Logical Collection Resources in a Massive Domain-specific Operational Environment,"Xi S. Guo, Jack G. Conrad, Peter Jackson, Monem Meziou"
534,VLDB,2001,Generic Schema Matching with Cupid,"Philip A. Bernstein, Erhard Rahm, Jayant Madhavan"
535,SIGMOD Conference,1996,A Query Language and Optimization Techniques for Unstructured Data,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu"
536,SIGMOD Conference,1996,BeSS: Storage Support for Interactive Visualization Systems,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos"
537,ACM Trans. Database Syst.,2000,Optimizing object queries using an effective calculus,"Leonidas Fegaras, David Maier"
538,SIGMOD Record,2002,An Early Look at XQuery,"Andrew Eisenberg, Jim Melton"
539,VLDB,1997,The Complexity of Transformation-Based Join Enumeration,"C�sar A. Galindo-Legaria, Martin L. Kersten, Arjan Pellenkoft"
540,VLDB,2002,GeMBASE: A Geometric Mediator for Brain Analysis with Surface Ensembles,"Amarnath Gupta, Simone Santini"
541,VLDB,1995,A Data Transformation System for Biological Data Sources,"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton"
542,VLDB,1999,Similarity Search in High Dimensions via Hashing,"Rajeev Motwani, Aristides Gionis, Piotr Indyk"
543,ACM Trans. Database Syst.,1997,Object Normal Forms and Dependency Constraints for Object-Oriented Schemata,"Zahir Tari, Stefano Spaccapietra, John Stokes"
544,VLDB,2003,CachePortal II: Acceleration of Very Large Scale Data Center-Hosted Database-driven Web Applications,"Wang-Pin Hsiung, Kunihiro Taniguchi, Yusuf Akca, Oliver Po, Wen-Syan Li, Divyakant Agrawal, K. Sel�uk Candan"
545,VLDB,2002,Structural Function Inlining Technique for Structurally Recursive XML Queries,"Jun-Ki Min, Chin-Wan Chung, Chang-Won Park"
546,VLDB,2000,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,"Jennifer Widom, Chris Olston"
547,VLDB,2001,Tavant System Architecture for Sell-side Channel Management,"Subbu N. Subramanian, Srinivasa Narayanan"
548,SIGMOD Record,2002,Reminiscences on Influential Papers,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross"
549,SIGMOD Conference,2002,Efficient evaluation of queries in a mediator for WebSources,"Tolga Urhan, Laura Bright, Vladimir Zadorozhny, Maria-Esther Vidal, Louiqa Raschid"
550,SIGMOD Conference,2003,D(k)-Index: An Adaptive Structural Summary for Graph-Structured Data,"Chen Qun, Andrew Lim, Kian Win Ong"
551,ACM Trans. Database Syst.,2003,Are quorums an alternative for data replication?,"Bettina Kemme, Ricardo Jim�nez-Peris, Marta Pati�o-Mart�nez, Gustavo Alonso"
552,ACM Trans. Database Syst.,2001,"Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian"
553,SIGMOD Conference,1999,Implementing the Spirit of SQL-99,Paul Brown
554,SIGMOD Conference,2001,Content Integration for E-Business,"Joseph M. Hellerstein, Michael Stonebraker"
555,SIGMOD Conference,2000,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,"Alexander S. Szalay, Donald R. Slutz, Ani Thakar, Jim Gray, Peter Z. Kunszt"
556,SIGMOD Conference,2001,Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,"Ramesh C. Agarwal, Mahesh V. Joshi"
557,SIGMOD Conference,2000,SQLEM: Fast Clustering in SQL using the EM Algorithm,"Paul Cereghini, Carlos Ordonez"
558,VLDB,2003,S-ToPSS: Semantic Toronto Publish/Subscribe System,"Ioana Burcea, Milenko Petrovic, Hans-Arno Jacobsen"
559,VLDB,2001,Managing Business Processes via Workflow Technology,Frank Leymann
560,SIGMOD Conference,1998,CONTROL: Continuous Output and Navigation Technology with Refinement On-Line,"Bruce Lo, Tali Roth, Ron Avnur, Joseph M. Hellerstein, Chris Olston, Kirk Wylie, Bhaskaran Raman, Vijayshankar Raman"
561,SIGMOD Record,1994,A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa"
562,SIGMOD Conference,2000,DLFM: A Transactional Resource Manager,"Hui-I Hsiao, Inderpal Narang"
563,SIGMOD Conference,1999,Hypertext Databases and Data Mining,Soumen Chakrabarti
564,SIGMOD Record,1999,Dynamic Service Matchmaking Among Agents in Open Information Environments,"Matthias Klusch, Katia P. Sycara, Seth Widoff, Jianguo Lu"
565,SIGMOD Record,1996,Open Issues in Parallel Query Optimization,"Waqar Hasan, Patrick Valduriez, Daniela Florescu"
566,SIGMOD Conference,1994,Database Issues in Telecommunications Network Management,Ilsoo Ahn
567,VLDB,1998,MapInfo SpatialWare: A Spatial Information Server for RDBMS,Chebel Mina
568,SIGMOD Conference,2000,Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,"Kien A. Hua, Jung-Hwan Oh"
569,VLDB,2003,The Generalized Pre-Grouping Transformation: Aggregate-Query Optimization in the Presence of Dependencies,"Timos K. Sellis, Aris Tsois"
570,VLDB,1996,MineSet(tm): A System for High-End Data Mining and Visualization,?
571,SIGMOD Record,1998,KRDB '98: The 5th International Workshop on Knowledge Representation Meets Databases,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri"
572,VLDB,1998,The Drill Down Benchmark,"Peter A. Boncz, Tim R�hl, Fred Kwakkel"
573,VLDB,1994,"Fast, Randomized Join-Order Selection - Why Use Transformations?","Arjan Pellenkoft, C�sar A. Galindo-Legaria, Martin L. Kersten"
574,SIGMOD Conference,2000,Expressing Business Rules,Ronald G. Ross
575,VLDB J.,1999,Fast Joins Using Join Indices,"Kenneth A. Ross, Zhe Li"
576,ACM Trans. Database Syst.,2003,Discovering all most specific sentences,"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos"
577,SIGMOD Conference,2000,Adaptive Multi-Stage Distance Join Processing,"Sukho Lee, Bongki Moon, Hyoseop Shin"
578,VLDB,2000,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,"Christos Faloutsos, Leejay Wu, Katia P. Sycara, Terry R. Payne"
579,VLDB,1995,The Fittest Survives: An Adaptive Approach to Query Optimization,"Kian-Lee Tan, Son Dao, Hongjun Lu"
580,SIGMOD Record,1998,Building Database-driven Electronic Catalogs,Sherif Danish
581,VLDB,1994,Content-Based Image Indexing,Tzi-cker Chiueh
582,SIGMOD Conference,2000,Towards Self-Tuning Data Placement in Parallel Database Systems,"Mong-Li Lee, Beng Chin Ooi, Anirban Mondal, Kian-Lee Tan, Masaru Kitsuregawa"
583,SIGMOD Conference,1995,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari"
584,SIGMOD Conference,2003,Rondo: A Programming Platform for Generic Model Management,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik"
585,ACM Trans. Database Syst.,1998,Optimization Techniques for Queries with Expensive Methods,Joseph M. Hellerstein
586,SIGMOD Conference,1997,Eliminating Costly Redundant Computations from SQL Trigger Executions,"Fran�ois Llirbat, Fran�oise Fabret, Eric Simon"
587,SIGMOD Conference,1999,The Need for Distributed Asynchronous Transactions,"Lyman Do, Prabhu Ram, Pamela Drew"
588,VLDB,2001,Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,"Yusuf Akca, Cemal Yilmaz, K. Sel�uk Candan, Wen-Syan Li, Wei-Kuang Waine Huang, Qiong Luo, Divyakant Agrawal, Wang-Pin Hsiung, Oliver Po"
589,VLDB,2001,MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,"Dimitris Papadias, Yufei Tao"
590,SIGMOD Conference,1999,"O-O, What's Happening to DB2?","Richard Swagerman, Nelson Mendon�a Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin"
591,VLDB,2001,Comparing Hybrid Peer-to-Peer Systems,"Beverly Yang, Hector Garcia-Molina"
592,SIGMOD Conference,1998,DataSplash,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu"
593,ACM Trans. Database Syst.,2001,A case for dynamic view management,"Nick Roussopoulos, Yannis Kotidis"
594,VLDB,2003,Chameleon: an Extensible and Customizable Tool for Web Data Translation,"Riccardo Torlone, Paolo Atzeni"
595,SIGMOD Record,1998,A Workflow-based Electronic Marketplace on the Web,"Ibrahim Cingil, Nazife Dimililer, Nesime Tatbul, Ilker Durusoy, Asuman Dogac, Pinar Koksal, Sena Nural Arpinar"
596,VLDB J.,2003,Learning to match ontologies on the Semantic Web,"Jayant Madhavan, Robin Dhamankar, Alon Y. Halevy, Pedro Domingos, AnHai Doan"
597,SIGMOD Record,2003,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,Michael M. David
598,VLDB,1998,The ADABAS Buffer Pool Manager,Harald Sch�ning
599,SIGMOD Conference,2002,Gigascope: high performance network monitoring with an SQL interface,"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck"
600,SIGMOD Conference,1995,The Merge/Purge Problem for Large Databases,"Salvatore J. Stolfo, Mauricio A. Hern�ndez"
601,VLDB,2003,Query Processing in Spatial Network Databases,"Nikos Mamoulis, Jun Zhang, Dimitris Papadias, Yufei Tao"
602,VLDB,2003,A Nanotechnology-based Approach to Data Storage,"B. Gotsmann, A. Dholakia, G. Cherubini, Walter H�berle, H. Pozidis, Michel Despont, Richard Stutz, P. B�chtold, C. Hagleitner, T. R. Albrecht, Hugo E. Rothuizen, Gerd K. Binnig, D. Jubin, A. Pantazi, M. A. Lantz, E. Eleftheriou, Urs D�rig, T. Loeliger, Peter Vettiger, D. Wiesmann, Ute Drechsler"
603,VLDB,1998,Fast High-Dimensional Data Search in Incomplete Databases,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi"
604,VLDB J.,2002,A template model for multidimensional inter-transactional association rules,"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han"
605,SIGMOD Conference,1999,BOAT-Optimistic Decision Tree Construction,"Wei-Yin Loh, Raghu Ramakrishnan, Venkatesh Ganti, Johannes Gehrke"
606,SIGMOD Conference,2002,Continuously adaptive continuous queries over streams,"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein"
607,SIGMOD Record,1999,Diluting ACID,"Peter Thanisch, Colin Stirling, Tim Kempster"
608,SIGMOD Record,1996,Applying database Visualization to the World Wide Web,"Alberto O. Mendelzon, Dimitra Vista, Masum Z. Hasan"
609,VLDB,2002,DTD-Directed Publishing with Attribute Translation Grammars,"Michael Benedikt, Aoying Zhou, Rajeev Rastogi, Shihui Zheng, Chee Yong Chan, Wenfei Fan"
610,VLDB,2003,Primitives for Workload Summarization and Implications for SQL,"Surajit Chaudhuri, Prasanna Ganesan, Vivek R. Narasayya"
611,VLDB,1998,Safely and Efficiently Updating References During On-line Reorganization,"Betty Salzberg, Chendong Zou"
612,ACM Trans. Database Syst.,1998,An Efficient Method for Checking Object-Oriented Database Schema Correctness,"Michele Missikoff, Anna Formica, Hans Dietmar Gr�ger"
613,VLDB,1996,Reordering Query Execution in Tertiary Memory Databases,"Michael Stonebraker, Sunita Sarawagi"
614,VLDB,1996,How System 11 SQL Server Became Fast,T. K. Rengarajan
615,SIGMOD Record,2000,Moving up the food chain: Supporting E-Commerce Applications on Databases,Anant Jhingran
616,SIGMOD Conference,2002,APEX: an adaptive path index for XML data,"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min"
617,VLDB J.,1994,Index Configuration in Object-Oriented Databases,Elisa Bertino
618,VLDB,2002,Continuous Nearest Neighbor Search,"Dimitris Papadias, Yufei Tao, Qiongmao Shen"
619,SIGMOD Record,2002,Chair's Message,M. Tamer �zsu
620,SIGMOD Record,1998,Towards a Richer Web Object Model,Frank Manola
621,SIGMOD Conference,2000,Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,"Paolo Atzeni, Paolo Merialdo, Marco Pecorone, Marco Magnante, Giansalvatore Mecca"
622,VLDB,1994,Performance of Data-Parallel Spatial Operations,"Hanan Samet, Erik G. Hoel"
623,SIGMOD Conference,1998,Managing Large Systems with DB2 UDB,Chris Eaton
624,SIGMOD Conference,2003,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,"C. Mohan, Sailesh Krishnamurthy, Mehmet Altinel, Christof Bornh�vd, Hamid Pirahesh, Berthold Reinwald"
625,SIGMOD Conference,1995,"Information Translation, Mediation, and Mosaic-Based Browsing in the TSIMMIS System","Yannis Papakonstantinou, Joachim Hammer, Jennifer Widom, Jeffrey D. Ullman, Hector Garcia-Molina, Kelly Ireland"
626,SIGMOD Record,2003,Reminiscences on Influential Papers,"Jun Rao, Kenneth A. Ross, Johannes Gehrke"
627,SIGMOD Record,2003,"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002",Alexander A. Anisimov
628,SIGMOD Conference,2001,Adaptive Precision Setting for Cached Approximate Values,"Boon Thau Loo, Jennifer Widom, Chris Olston"
629,SIGMOD Conference,1998,Extracting Schema from Semistructured Data,"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov"
630,VLDB,2003,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"Josef Burger, Jeffrey F. Naughton, Stratis Viglas"
631,VLDB J.,1995,Fibonacci: A Programming Language for Object Databases,"Antonio Albano, Renzo Orsini, Giorgio Ghelli"
632,SIGMOD Conference,2003,A Theory of Redo Recovery,"Mark R. Tuttle, David B. Lomet"
633,VLDB,1994,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"John G. Hughes, David A. Bell, Sarabjot S. Anand"
634,SIGMOD Conference,1997,Distance-Based Indexing for High-Dimensional Metric Spaces,"Z. Meral �zsoyoglu, Tolga Bozkaya"
635,SIGMOD Record,2000,Provision of Market Services for eCo Compliant Electronic Market Places,"Sena Nural Arpinar, Asuman Dogac"
636,SIGMOD Record,2001,Report on the 2001 SIGMOD and PODS Awards,Philip A. Bernstein
637,VLDB,1996,Disseminating Updates on Broadcast Disks,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin"
638,VLDB J.,1994,"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",?
639,SIGMOD Record,2003,Research in database engineering at the University of Namur,Jean-Luc Hainaut
640,SIGMOD Conference,1996,Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,"Mich�le Cart, Claire Morpain, Jean-Fran�ois Pons, Jean Ferri�"
641,VLDB J.,2001,Integrating and customizing heterogeneous e-commerce applications,"Anat Eyal, Tova Milo"
642,VLDB J.,1994,A Semantic Modeling Approach for Image Retrieval by Content,"Ricky K. Taira, Ion Tim Ieong, Wesley W. Chu"
643,VLDB J.,2003,Guest editorial,"Yannis E. Ioannidis, Raghu Ramakrishnan, Philip A. Bernstein"
644,SIGMOD Record,1998,Electronic Market: The Roadmap for University Libraries and Members to Survive in the Information Jungle,"Peter C. Lockemann, Bethina Schmitt, Michael Christoffel, Sebastian Pulkowski"
645,ACM Trans. Database Syst.,1994,Altruistic Locking,"Jeannie Shands, Kenneth Salem, Hector Garcia-Molina"
646,VLDB,1995,Query Processing in Tertiary Memory Databases,Sunita Sarawagi
647,SIGMOD Record,1998,Component-based E-Commerce: Assesment of Current Practices and Future Directions,"Martin Bichler, Arie Segev, J. Leon Zhao"
648,SIGMOD Conference,1995,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases","Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang"
649,VLDB,2000,Building Scalable Internet Applications with Oracle8i Server,"Olga Peschansky, Jos� Alberto Fern�ndez, Julie Basu"
650,SIGMOD Conference,1994,The Montage Extensible DataBlade Achitecture,Michael Ubell
651,ACM Trans. Database Syst.,1994,Quorum Consensus in Nested Transaction Systems,"Kenneth J. Goldman, Nancy A. Lynch"
652,ACM Trans. Database Syst.,1996,Model and Verification of a Data Manager Based on ARIES,Dean Kuo
653,ACM Trans. Database Syst.,2003,Spatial queries in dynamic environments,"Yufei Tao, Dimitris Papadias"
654,VLDB J.,2000,Learning Response Time for WebSources Using Query Feedback and Application in Query Optimization,"Jean-Robert Gruser, Vladimir Zadorozhny, Louiqa Raschid, Tao Zhan"
655,SIGMOD Record,1997,Virtual Database technology,"Venky Harinarayan, Ashish Gupta, Anand Rajaraman"
656,SIGMOD Record,2003,Time management for new faculty,"Anastassia Ailamaki, Johannes Gehrke"
657,SIGMOD Record,1996,Much Ado About Shared-Nothing,"Michael G. Norman, Peter Thanisch, Thomas Zurek"
658,VLDB,2003,Optimized Query Execution in Large Search Engines with Global Page Ordering,"Torsten Suel, Xiaohui Long"
659,SIGMOD Conference,1997,Query Optimization at the Crossroads (Panel),Surajit Chaudhuri
660,SIGMOD Conference,1997,STRUDEL: A Web-site Management System,"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu"
661,SIGMOD Record,2003,Chair's Message,M. Tamer �zsu
662,SIGMOD Conference,2001,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang"
663,SIGMOD Record,2002,The p Operator: Discovering and Ranking Associations on the Semantic Web,"Kemafor Anyanwu, Amit P. Sheth"
664,SIGMOD Record,1998,Repositories and Object Oriented Databases,Philip A. Bernstein
665,SIGMOD Record,2002,Editor's Notes,Ling Liu
666,VLDB,1997,GTE SuperPages: Using IR Techniques for Searching Complex Objects,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy"
667,SIGMOD Conference,2000,A Data Model and Data Structures for Moving Objects Databases,"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G�ting"
668,SIGMOD Record,1996,Middle East Technical University Software Research and Development Center,Asuman Dogac
669,SIGMOD Conference,1995,The Handwritten Trie: Indexing Electronic Ink,"Padmavathi Vallabhaneni, Daniel Barbar�, Walid G. Aref"
670,SIGMOD Record,1997,Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,"F�lix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Sch�nhoff, Markus Str�ssler, Barry Eaglestone, Stefan Conrad"
671,SIGMOD Conference,2002,Dynamic multidimensional histograms,"Piotr Indyk, Sudipto Guha, Nitin Thaper, Nick Koudas"
672,ACM Trans. Database Syst.,1998,Inverted Files Versus Signature Files for Text Indexing,"Kotagiri Ramamohanarao, Justin Zobel, Alistair Moffat"
673,VLDB,1999,Aggregation Algorithms for Very Large Compressed Data Warehouses,"Jaideep Srivastava, Jianzhong Li, Doron Rotem"
674,VLDB J.,1998,Delivering Presentations from Multimedia Servers,"Nevzat Hurkan Balkir, Gultekin �zsoyoglu"
675,ACM Trans. Database Syst.,1994,Automated Resolution of Semantic Heterogeneity in Multidatabases,"A. R. Hurson, Simin H. Pakzad, M. W. Bright"
676,SIGMOD Record,2001,Chair's Message,M. Tamer �zsu
677,SIGMOD Record,2002,Book Review Column,Karl Aberer
678,SIGMOD Record,2002,The Design and Performance Evaluation of Alternative XML Storage Strategies,"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian"
679,ACM Trans. Database Syst.,1995,Containment of Conjunctive Queries: Beyond Relations as Sets,"Raghu Ramakrishnan, Yannis E. Ioannidis"
680,SIGMOD Record,1995,From the Guest Editors - Special Section on Data Management Issues in Mobile Computing,"Margaret H. Dunham, Abdelsalam Helal"
681,VLDB,2002,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang"
682,SIGMOD Conference,2000,Turbo-charging Vertical Mining of Large Databases,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia"
683,SIGMOD Conference,1997,PREDATOR: An OR-DBMS with Enhanced Data Types,"Praveen Seshadri, Mark Paskin"
684,SIGMOD Record,1996,Exploiting Main Memory DBMS Features to Improve Real-Time Concurrency Control Protocols,"�zg�r Ulusoy, Alejandro P. Buchmann"
685,VLDB,2001,Approximate Query Processing: Taming the TeraBytes,"Minos N. Garofalakis, Phillip B. Gibbons"
686,SIGMOD Record,2001,Querying Multi-dimensional Data Indexed Using the Hilbert Space-filling Curve,"Peter J. H. King, Jonathan K. Lawder"
687,SIGMOD Record,2000,Theory of Answering Queries Using Views,Alon Y. Halevy
688,SIGMOD Conference,2003,GridDB: A Database Interface to the Grid,"David T. Liu, Devesh Parekh, Michael J. Franklin"
689,VLDB,2003,Controlling Access to Published Data Using Cryptography,"Gerome Miklau, Dan Suciu"
690,SIGMOD Conference,2002,Minimal probing: supporting expensive predicates for top-k queries,"Kevin Chen-Chuan Chang, Seung-won Hwang"
691,VLDB J.,1998,"Advanced Data Processing in KRISYS: Modeling Concepts, Implementation Techniques, and Client/Server Issues","Nelson Mendon�a Mattos, Joachim Thomas, Theo H�rder, Stefan De�loch, Bernhard Mitschang"
692,SIGMOD Record,2002,Letter to SIGMOD Record Editor,Nazih Elderini
693,SIGMOD Record,1994,Progress on HPCC and NII,Marianne Winslett
694,SIGMOD Record,1995,An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract),"Chiang Lee, Hongjun Lu, Chia-Jung Chen"
695,VLDB,2000,Novel Approaches in Query Processing for Moving Object Trajectories,"Yannis Theodoridis, Dieter Pfoser, Christian S. Jensen"
696,VLDB,1999,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Adam Blum
697,SIGMOD Record,2002,Reminiscences on Influential Papers,"Kenneth A. Ross, Anastassia Ailamaki, Alfred V. Aho"
698,SIGMOD Conference,2002,Rate-based query optimization for streaming information sources,"Jeffrey F. Naughton, Stratis Viglas"
699,SIGMOD Conference,1999,EMC Information Sharing: Direct Access to MVS Data from Unix and NT,Walt Kohler
700,VLDB,1998,Selectivity Estimation in Extensible Databases - A Neural Network Approach,"Shaoyu Zhou, M. Seetha Lakshmi"
701,SIGMOD Record,2002,Data Warehousing and Business Intelligence for E-Commerce - Book Review,Frank G. Goethals
